nome,tmdb_id,biografia,data_nascita,luogo_nascita
Beeban Kidron,20237,"Beeban Kidron is an English film director known for her much-lauded adaptation of Jeanette Winterson's autobiographical novel Oranges Are Not the Only Fruit and for directing Bridget Jones: The Edge of Reason. In 2008, with Lindsey Mackie, she founded the charity Filmclub, which has since grown to be one of the largest and most influential after-school clubs in the UK, attracting over 160,000 children and young people each week.",1961-05-02,"North London, England, UK"
Carl Franklin,21712,"Carl Franklin  (born April 11, 1949) is an American actor, screenwriter and film and television director. Franklin is a graduate of University of California, Berkeley and continued his education at the AFI Conservatory, where he graduated with an M.F.A. degree in directing in 1986. Franklin is most noted for Devil in a Blue Dress, which was based on the book by Walter Mosley and starred Denzel Washington and Don Cheadle.

Description above from the Wikipedia article Carl Franklin, licensed under CC-BY-SA, full list of contributors on Wikipedia",1949-04-11,"Richmond, California, USA"
Steven Seagal,,,,
Danny Boyle,2034,"Daniel Francis Boyle (born 20 October 1956) is an English filmmaker and producer. He is best known for his work on films such as Trainspotting, 28 Days Later, Slumdog Millionaire, 127 Hours, and Steve Jobs. In 2009, Slumdog Millionaire won Boyle the Academy Award for Best Director, and the film won Best Picture. In 2012, Boyle was the artistic director for Isles of Wonder, the opening ceremony of the Summer Olympics in London, which was widely praised.",1956-10-20,"Manchester, England, UK"
Andrew Bergman,41550,"Andrew Bergman (born February 20, 1945) is an American screenwriter, film director, and novelist. New York magazine in 1985 dubbed him ""The Unknown King of Comedy"".

He graduated from Binghamton University and earned a Ph.D. in American history from the University of Wisconsin. His dissertation, a study of Depression-era Hollywood films, was published in 1971 by NYU Press under the title We're In the Money: Depression America and Its Films. He wrote James Cagney: The Pictorial Treasury of Film Stars.

He wrote the original screenplay (titled Tex X) that served as the basis for Mel Brooks's classic Blazing Saddles, and was among the co-writers who adapted it into its final state. Since then, he has written or co-written the cult classics The In-Laws, Fletch, and Soapdish; written and directed The Freshman, Honeymoon in Vegas and It Could Happen To You; written and produced Striptease with Demi Moore; and directed the Jacqueline Susann biopic Isn't She Great.

Bergman has written four novels: The Big Kiss-Off of 1944, Hollywood and LeVine, Tender Is LeVine, and Sleepless Nights. He also wrote the Broadway comedy, Social Security, and Working Title.

The Andrew Bergman History Writing Prize is awarded by University of Wisconsin. He lives in New York City with his wife. He has two grown sons.

Description above from the Wikipedia article Andrew Bergman, licensed under CC-BY-SA, full list of contributors on Wikipedia",1945-02-20,"Queens, New York City, New York, USA"
Barbet Schroeder,23393,"Barbet Schroeder (born 26 August 1941) is an Iranian-born Swiss film director and producer who started his career in French cinema in the 1960s, working with directors of the French New Wave such as Jean-Luc Godard, Jacques Rivette and Eric Rohmer.

Schroeder started his career producing such films as The Bakery Girl of Monceau (1962), Six in Paris (1965), and Celine and Julie Go Boating (1974). He then transitioned into directing films such as More (1969), La Vallée (1972) and Barfly (1987), the last of which was nominated for the Palme d'Or. He also gained recognition for directing the documentary Koko: A Talking Gorilla (1978). He directed what he labeled, ""The Trilogy of Evil"", which includes the films, General Idi Amin Dada: A Self Portrait (1974), Terror's Advocate (2007) and The Venerable W. (2016).

He directed the drama Reversal of Fortune (1990) and earned a nomination for Academy Award for Best Director. He then directed many big budget Hollywood films, often mixing melodrama with the thriller genre in films like Single White Female (1992), Kiss of Death (1995), Desperate Measures (1998) and Murder by Numbers (2002). He also acted in Beverly Hills Cop III (1994), Mars Attacks! (1996) and The Darjeeling Limited (2007).

Description above from the Wikipedia article Barbet Schroeder, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1941-08-26,"Tehran, Iran"
Peter Webber,16785,Peter Webber (born 1960) is a British director who is best known for his debut feature film Girl with a Pearl Earring and Hannibal Rising.,1968-01-01,United Kingdom
Andrew Niccol,8685,"Andrew M. Niccol (born 10 June 1964) is a New Zealand-born screenwriter, producer, and director. He wrote and directed Gattaca, S1m0ne, and Lord of War. He also wrote and co-produced The Truman Show, which earned him an Academy Award nomination for best original screenplay in 1999 and won him a BAFTA award for Best Screenplay. Many of his films, such as Gattaca, S1m0ne and The Truman Show view societal or political issues through a fantasy-science fiction lens. Lord of War, however, was a contemporary, matter-of-fact exploration of gunrunning.

Niccol was born in Paraparaumu, New Zealand in 1964 and grew up in Auckland, where he attended Auckland Grammar School. He left New Zealand at age 21 and began directing commercials in London, England. During the production of S1m0ne, he met model Rachel Roberts, with whom he has a son, Jack in 2003, and a daughter, Ava in 2008.

Description above from the Wikipedia article Andrew Niccol, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1964-06-01,"Paraparaumu, New Zealand"
John Carpenter,11770,"An American film director, screenwriter, producer, editor, composer, and occasional actor.

Although Carpenter has worked in numerous film genres in his four-decade career, his name is most commonly associated with horror and science fiction.

Most films in Carpenter's career were initially commercial and critical failures, with the notable exceptions of Halloween (1978), The Fog (1980), Escape from New York (1981), and Starman (1984).

However, many of Carpenter's films from the 1970s and the 1980s have come to be viewed as cult classics, and he has been acknowledged as an influential filmmaker. Cult classics that Carpenter directed include: Dark Star (1974), Assault on Precinct 13 (1976), The Thing (1982), Christine (1983), Big Trouble in Little China (1986), Prince of Darkness (1987), They Live (1988) and In the Mouth of Madness (1995).

His films are characterized by minimalist lighting and photography, static cameras, use of steadicam, and distinctive synthesized scores. Carpenter is also notable for having composed or co-composed most of the music of his films; some of them are now considered cult as well, with the main theme of Halloween being considered a part of popular culture. His music is generally synthesized with accompaniment from piano and atmospherics. He released his first studio album Lost Themes in 2015, and also won a Saturn Award for Best Music for Vampires (1998).

Carpenter is an outspoken proponent of widescreen filming, and all of his theatrical movies (with the exception of Dark Star and The Ward) were filmed anamorphic with a 2.35:1 or greater aspect ratio. The Ward was shot in Super 35, the first time Carpenter has ever used that system. Carpenter has stated he feels that the 35mm Panavision anamorphic format is ""the best movie system there is"", preferring it over both digital and 3D film. Many of Carpenter's films have been re-released on DVD as special editions with numerous bonus features.

Carpenter has been the subject of the documentary film John Carpenter: The Man and His Movies, and American Cinematheque's 2002 retrospective of his films. Moreover, in 2006, the United States Library of Congress deemed Halloween to be ""culturally significant"" and selected it for preservation in the National Film Registry.

In 2010, writer and actor Mark Gatiss interviewed Carpenter about his career and films for his BBC documentary series A History of Horror. Carpenter appears in all three episodes of the series. He was also interviewed by Robert Rodriguez for his The Director's Chair series on El Rey Network.

Many filmmakers have been influenced by Carpenter, including James Cameron, Quentin Tarantino (The Hateful Eight was heavily influenced by The Thing), Guillermo del Toro, Robert Rodriguez, Edgar Wright, Danny Boyle, Nicolas Winding Refn, Bong Joon-ho, among others.

The video game Dead Space 3 is said to be influenced by Carpenter's The Thing, The Fog and Halloween, and Carpenter has stated that he would be enthusiastic to adapt that series into a feature film.",1948-01-16,"Carthage, New York, USA"
Wes Anderson,5655,"Wesley Wales Anderson (born May 1, 1969) is an American filmmaker. His films are known for their symmetry, eccentricity and distinctive visual and narrative styles, and he is cited by some critics as a modern-day example of the auteur. Three of his films, The Royal Tenenbaums (2001), Moonrise Kingdom (2012), and The Grand Budapest Hotel (2014) appeared in BBC Culture's 2016 poll of the greatest films since 2000.

Anderson was nominated for the Academy Award for Best Original Screenplay for The Royal Tenenbaums (2001), Moonrise Kingdom (2012) and The Grand Budapest Hotel (2014), as well as the Academy Award for Best Animated Feature for the stop-motion films Fantastic Mr. Fox (2009) and Isle of Dogs (2018). With The Grand Budapest Hotel, he received his first Academy Award nominations for Best Director and Best Picture, and won the Golden Globe Award for Best Motion Picture – Musical or Comedy and the BAFTA Award for Best Original Screenplay. He currently runs the production company American Empirical Pictures, which he founded in 1998. He won the Silver Bear for Best Director for Isle of Dogs in 2018.",1969-05-01,"Houston, Texas, USA"
David Cronenberg,224,"David Paul Cronenberg (born 15 March 1943) is a Canadian film director, screenwriter, producer and actor. He is a principal originator of the body horror genre, with his films exploring visceral bodily transformation, infectious diseases, and the intertwining of the psychological, physical, and technological. Cronenberg is best known for exploring these themes through sci-fi horror films such as Shivers (1975), Scanners (1981),  Videodrome (1983), and The Fly (1986). However, he has also directed dramas, psychological thrillers, and gangster films.

Cronenberg's films have polarized critics and audiences; he has earned critical acclaim and sparked controversy for his depictions of gore and violence. The Village Voice called him ""the most audacious and challenging narrative director in the English-speaking world"". His films have won numerous awards, including the Special Jury Prize for Crash at the 1996 Cannes Film Festival, a unique award that is distinct from the Jury Prize as it is not given annually but only at the request of the official jury, who in this case gave the award ""for originality, for daring, and for audacity"".

From the 2000s to the 2020s, Cronenberg collaborated on several films with Viggo Mortensen, including A History of Violence (2005), Eastern Promises (2007), A Dangerous Method (2011) and Crimes of the Future (2022). Seven of his films were selected to compete for the Palme d'Or, the most recent being The Shrouds (2024), which was screened at the 2024 Cannes Film Festival.

Description above from the Wikipedia article David Cronenberg, licensed under CC-BY-SA, is a full list of contributors on Wikipedia.",1943-03-15,"Toronto, Ontario, Canada"
John Stockwell,57082,"From Wikipedia, the free encyclopedia

John Stockwell (born March 25, 1961) is an American actor, director, producer, writer and former model.

Stockwell was born John Stockwell Samuels IV in Galveston, Texas, the son of an attorney. His first feature film as an actor came in 1981's So Fine. His well known roles came in the 1983 comedy film Losin' It as Spider; later that year, he starred in the John Carpenter horror movie Christine as Dennis Guilder and the 1985 comedy film, My Science Project as Michael Harlan. In 1986 he appeared in Top Gun as Cougar. He made guest appearances on TV shows including The Young Riders and Friday the 13th: The Series.

He began his career as international model, spending much of his time in Italy. During his time as a model, John became a friend of Andy Warhol and Stockwell was mentioned frequently in the artist's memoirs,The Warhol Diaries.

Stockwell directed several films, including Cheaters (2000), Crazy/Beautiful (2001), Blue Crush (2002), Into the Blue (2005), Turistas (2006), and Heart (2009).

Description above from the Wikipedia article John Stockwell (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia.",1961-03-25,"Galveston, Texas, USA"
David Gordon Green,64141,"David Gordon Green is an American filmmaker. He has directed dramas such as George Washington, All the Real Girls, and Snow Angels, as well as the thriller Undertow, all of which he wrote or co-wrote. In 2008, he transitioned into comedy, directing the films Pineapple Express, Your Highness, and The Sitter, as well as episodes of the HBO comedy Eastbound & Down. In 2013, he returned to his more dramatic roots with the independent films Prince Avalanche and Joe. Since then, he has directed the films Manglehorn, Our Brand Is Crisis, Stronger, and episodes of the television comedy-drama Red Oaks, on which he also serves as executive producer. He directed the eleventh, twelfth and thirteenth installments in the Halloween franchise, which he co-wrote with frequent collaborator Danny McBride.",1975-04-09,"Little Rock, Arkansas, USA"
Jim Sheridan,53334,"Jim Sheridan (born 6 February 1949) is an Irish film director. A six-time Academy Award nominee, Sheridan is perhaps best known for his films My Left Foot, In the Name of the Father, Get Rich or Die Tryin' and In America.

Description above from the Wikipedia article Jim Sheridan, licensed under CC-BY-SA, full list of contributors on Wikipedia",1949-02-06,"Dublin, Ireland"
Costa-Gavras,27436,"Konstantinos ""Kostas"" Gavras (Greek: Κωνσταντίνος ""Κώστας"" Γαβράς; born 12 February 1933), known professionally as Costa-Gavras, is a Greek-French film director, screenwriter, and producer who lives and works in France. He is known for political films, such as the political thriller Z (1969), which won an Academy Award for Best Foreign Language Film, and Missing (1982), for which he won the Palme d'Or and an Academy Award for Best Adapted Screenplay. Most of his films have been made in French, but six have been in English, including Hanna K..

Description above from the Wikipedia article Costa-Gavras, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1933-02-12,"Loutra-Iraias, Greece"
Patrick Read Johnson,56059,"​Patrick Read Johnson is an American film director, producer, and writer.  Johnson is an American filmmaker, screenwriter, and special effects artist. He directed films such as Spaced Invaders (1990), Baby's Day Out (1994), and 5-25-77 (2022), an autobiographical film about his teenage years and early exposure to Star Wars. Johnson also co-wrote Dragonheart (1996), showcasing his versatility in both directing and screenwriting.",1962-05-07,"Wadsworth, Illinois, USA"
Richard LaGravenese,2163,"Richard LaGravenese (born October 30, 1959) is an American screenwriter and occasional film director. He is best known as the writer of The Fisher King.

Description above from the Wikipedia article Richard LaGravenese, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",1959-10-30,"Brooklyn, New York City, New York, USA"
Danny DeVito,,,,
George Armitage,58294,"From Wikipedia, the free encyclopedia

George Armitage (1942-2025) was an American film director, screenwriter, and producer who got his start as part of the stable of up-and-coming filmmakers who broke into the business through Roger Corman's New World Pictures. He is most well-known as the director of the films Miami Blues and Grosse Pointe Blank.

Description above from the Wikipedia article George Armitage, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1942-03-02,"Hartford, Connecticut, U.S."
Patrick Lussier,27226,"Patrick Lussier (born 1964) is a Canadian filmmaker and editor. He is best known for directing the films Dracula 2000 (2000), My Bloody Valentine (2009) and Drive Angry (2011).",1964-01-01,"Vancouver, British Columbia, Canada"
James Wong,57134,"James 'Jim' Wong (born April 20, 1959) is a Hongkongese-American television producer, writer, and film director notable for his screen works of The X-Files, Space: Above and Beyond, Millennium, Final Destination, The One, and the remakes of Willard and Black Christmas along with writing partner Glen Morgan.",1959-04-20,"Hong Kong, China"
Richard Curtis,7018,"Richard Whalley Anthony Curtis, CBE (born 8 November 1956) is New Zealand-born British screenwriter, music producer, actor and film director, known primarily for romantic comedy films such as Four Weddings and a Funeral, Bridget Jones's Diary, Notting Hill, and Love Actually, as well as the hit sitcoms Blackadder, Mr. Bean and The Vicar of Dibley. He is also the founder of the British charity Comic Relief.",1956-11-08,"Wellington, New Zealand"
Chuck Bowman,41270,"​From Wikipedia, the free encyclopedia

Chuck Bowman (born in Coffeyville, Kansas) is an American actor, director, producer and writer of film and television.",1937-06-02,"Coffeyville, Kansas, USA"
Olivier Megaton,75035,"Olivier Megaton (born Olivier Fontana) is a French film director, writer, and editor, best known for directing the films The Red Siren, Transporter 3, Colombiana, and two films in the Taken franchise starring Liam Neeson. He also served as a second unit director for the film Hitman.",1965-08-06,"Versailles, Seine-et-Oise [now Yvelines], France"
Deepa Mehta,4760,"Deepa Mehta, LLD (born 1 January 1950 in Amritsar, Punjab, India) is a Genie Award-winning and Academy Award-nominated Indian-born Canadian film director and screenwriter, most known for her Elements Trilogy, Fire (1996), Earth (1998), and Water (2005), which was nominated for Academy Award for Best Foreign Language Film. Her repertoire includes Bollywood/Hollywood and the adaptation of Salman Rushdie's Midnight’s Children. Born in India, she migrated to Canada after studying philosophy at the University of New Delhi. Initially focusing on documentaries, she's received numerous awards, honorary degrees, and prestigious honours like the Governor General’s Lifetime Artistic Achievement Award and the Order of Canada for her groundbreaking work in film. Recognized for challenging norms, Mehta’s films are revered for their daring and provocative nature, earning her distinctions like the Best Canadian Director by the Vancouver Film Critics Circle in 2006.  She also co-founded Hamilton-Mehta Productions, with her husband, producer David Hamilton in 1996.",1950-01-01,"Amritsar, Punjab, India"
Warren Beatty,,,,
Penny Marshall,14911,"Carole Penny Marshall (October 15, 1943 - December 17, 2018) was an American actress, producer and director. After playing several small roles for television, she was cast as Laverne DeFazio in the sitcom Laverne & Shirley. A ratings success, the show ran from 1976 until 1983, and Marshall received three Golden Globe award nominations for her performance. She progressed to directing films such as Big (1988), the first film directed by a woman to gross in excess of $100 million at the U.S. box office, Awakenings (1990), which was nominated for an Academy Award for Best Picture, and A League of Their Own (1992). In more recent years, she produced Cinderella Man (2005) and Bewitched (2005).

Description above from the Wikipedia article Penny Marshall, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1943-10-15,"The Bronx, New York City, New York, USA"
Ted Kotcheff,16544,"From Wikipedia, the free encyclopedia.

Ted Kotcheff (April 7, 1931 – April 10, 2025), sometimes credited as William Kotcheff or William T. Kotcheff, was a Canadian film and television director, who is well known for his work on several high-profile British television productions and as a director of films such as First Blood.

Description above from the Wikipedia article Ted Kotcheff, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1931-04-07,"Toronto, Ontario, Canada"
Andrei Tarkovsky,8452,"Andrei Arsenyevich Tarkovsky (April 4, 1932 – December 29, 1986) was a Soviet filmmaker, writer, film editor, film theorist and opera director, widely regarded as one of the finest filmmakers of the 20th century. Tarkovsky's films include Andrei Rublev, Solaris, Mirror and Stalker. They are characterized by spirituality and metaphysical themes, long takes, lack of conventional dramatic structure and plot, and distinctively authored use of cinematography.",1932-04-04,"Zavrazhye, USSR"
Yvette Kaplan,31093,"Yvette Kaplan is an animation director and producer, known for ""Zack and Quack"" (2012), 'Beavis and Butt-Head Do America' (1996), and ""Doug"" (1991).",1955-06-26,"New York, New York, U.S"
Stephen Frears,3224,"Stephen Arthur Frears (born 20 June 1941) is an English director and producer. He has directed numerous acclaimed films since the early 1980s, including My Beautiful Laundrette (1985), Dangerous Liaisons (1988), The Grifters (1990), High Fidelity (2000), The Queen (2006), Philomena (2013), Florence Foster Jenkins (2016), and Victoria & Abdul (2017). He has received two nominations for the Academy Award for Best Director.

Frears is also known for his work on various television programs, including Fail Safe (2000), The Deal (2003), Muhammad Ali's Greatest Fight (2013), A Very English Scandal (2018), State of the Union (2019), and Quiz (2020). He has received four Primetime Emmy Award nominations, with one win.

In 2008, The Daily Telegraph named Frears among the 100 most influential people in British culture.",1941-06-20,"Leicester, England, UK"
P.J. Hogan,3045,"From Wikipedia, the free encyclopedia. Paul John ""P. J."" Hogan (born 30 November 1962 ) is an Australian film director.

Hogan was born in Brisbane, Queensland. As a teenager, Hogan lived on the North Coast of New South Wales and attended Mt St Patrick's College and was said to have had a difficult time in high school as he was a victim of bullying.

His first big hit was the 1994 Australian film Muriel's Wedding, which helped launch the careers of actors Toni Collette and Rachel Griffiths. The success of the film also led him to be chosen by Julia Roberts to direct his 1997 American debut My Best Friend's Wedding, which also starred Cameron Diaz and Dermot Mulroney.

Hogan followed up My Best Friend's Wedding with the comedy Unconditional Love (which was filmed in 1999 but not released until 2003), and 2003's big budget adaptation of Peter Pan starring Jason Isaacs as Captain Hook, Jeremy Sumpter as Peter Pan and Rachel Hurd-Wood as Wendy. The following year he directed a pilot for a remake of the cult soap opera Dark Shadows, which was not picked up for broadcast, and created the story for the 2008 musical film The American Mall. He then directed Confessions of a Shopaholic (starring Isla Fisher), an adaptation of the novel The Secret Dreamworld of a Shopaholic. He will be directing a film of Blue Balliett's book Chasing Vermeer in the future.  

Hogan is married to film director Jocelyn Moorhouse.

Description above from the Wikipedia article P. J. Hogan, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1962-11-30,"Brisbane, Queensland, Australia"
Brad Furman,144221,"Brad Furman is an American film director, producer, and writer. In 2011 he directed the The Lincoln Lawyer which starred Matthew McConaughey.

Description above from the Wikipedia article Brad Furman, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,USA
Terence Young,9855,"Stewart Terence Herbert Young (20 June 1915 – 7 September 1994) was a British film director and screenwriter who worked in the United Kingdom, Europe and Hollywood. He is best known for directing three James Bond films: the first two films in the series, Dr. No (1962) and From Russia with Love (1963), and Thunderball (1965). His other films include the Audrey Hepburn thrillers Wait Until Dark (1967) and Bloodline (1979), the historical drama Mayerling (1968), the infamous Korean War epic Inchon (1981), and the Charles Bronson films Cold Sweat (1970), Red Sun (1971), and The Valachi Papers (1972).  Description above from the Wikipedia article Terence Young (director), licensed under CC-BY-SA, full list of contributors on Wikipedia.",1915-06-20,"Shanghai, China"
David Zucker,12987,"David S. Zucker (born October 16, 1947) is an American film director, producer, and screenwriter. Associated mostly with parody comedies, Zucker is recognized as the director and writer of the critically successful 1980 film Airplane! as well as being the creator of The Naked Gun franchise and for directing Scary Movie 3 and Scary Movie 4.",1947-10-16,"Milwaukee, Wisconsin, USA"
Denis Villeneuve,137427,"Denis Villeneuve (born October 3, 1967) is a Canadian filmmaker. He has received seven Canadian Screen Awards as well as nominations for three Academy Awards, five BAFTA Awards, and two Golden Globe Awards. Villeneuve's films have grossed more than $1.8 billion worldwide.

Villeneuve began his career in his home country, directing four French-language dramas: August 32nd on Earth (1998); Maelström (2000); Polytechnique (2009), a dramatisation of the 1989 École Polytechnique massacre; and Incendies (2010). The last of these gained him international prominence and earned a nomination for the Academy Award for Best International Feature Film. He expanded to English-language films by directing the thrillers Prisoners (2013), Enemy (2013), and Sicario (2015).

Villeneuve gained wider recognition for directing science fiction films. His work on Arrival (2016) earned him a nomination for the Academy Award for Best Director. This was followed by Blade Runner 2049 (2017), which was critically lauded but financially unsuccessful. His next projects were Dune (2021) and Dune: Part Two (2024), a two-part adaptation of Frank Herbert's novel of the same name. Both films were critically and commercially successful, with the former earning him Academy Award nominations for Best Adapted Screenplay and Best Picture.",1967-10-03,"Gentilly, Québec, Canada"
Thomas Carter,52038,"Thomas Carter (born July 17, 1953) is an American film and television director known for Swing Kids, Save the Last Dance with Julia Stiles, and Coach Carter with Samuel L. Jackson.

As an actor, Carter is probably best known for his work on the television series The White Shadow, playing James ""Hollywood"" Hayward, a high school basketball star with a high IQ for justice.",1953-07-17,"Austin, Texas, USA"
Roger Michell,7017,"Roger Michell (5 June 1956 – 22 September 2021) was a South African-born British theatre, television, and film director. He was best known for directing films such as Notting Hill and Venus, as well as the 1995 made-for-television film Persuasion.

Description above from the Wikipedia article Roger Michell, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1956-06-05,"Pretoria, South Africa"
Luis Llosa,26648,"Luis Llosa Urquidi (born 1951) is a Peruvian film director. He is best known for his American feature films Sniper (1993), The Specialist (1994), and Anaconda (1997). Llosa began as a film critic and segued into producing and directing made-for-TV documentaries, including the highly regarded ""The Gold of the Incas"". He is the cousin of Peruvian novelist Mario Vargas Llosa, whose novel was adapted into Luis's film The Feast of the Goat (2005).",1951-01-01,"Lima, Peru"
Melville Shavelson,16745,"From Wikipedia, the free encyclopedia

Melville Shavelson (April 1, 1917 – August 8, 2007) was an American film director, producer, screenwriter, and author. He was President of the Writers Guild of America, West (WGAw) from 1969 to 1971, 1979 to 1981, and 1985 to 1987. He came to Hollywood in 1938 as one of comedian Bob Hope's joke writers, a job he held for the next five years. He is responsible for the screenplays of such Hope films as The Princess and the Pirate (1944), Where There's Life (1947), The Great Lover (1949), and Sorrowful Jones (1949), which also starred Lucille Ball.

Shavelson was nominated twice for Academy Awards for Best Original Screenplay -- first for 1955's The Seven Little Foys, starring Hope in a rare dramatic role, and then for 1958's Houseboat. He shared both nominations with Jack Rose. He also directed both films.

Other films he wrote and directed include Beau James (1957), The Five Pennies (1959) for which he won a Screen Writers Guild Award, It Started in Naples (1960), On the Double (1961), The Pigeon That Took Rome (1962), A New Kind of Love (1963), Cast a Giant Shadow (1966), and Yours, Mine and Ours (1968), which starred Henry Fonda and again with Lucille Ball. The film, a comedy about a widow (Lucille Ball) and a widower (Henry Fonda) raising 18 children together. When Ms. Ball later asked Mr. Shavelson how he enjoyed directing her, The Associated Press reported, he replied, “Lucy, this is the first time I ever made a film with 19 children.” Ms. Ball was not amused. In addition to his film work, Shavelson created two Emmy award-winning television series and wrote for a dozen Academy Award shows.

He also wrote,produced and co-directed the six-hour ABC screenplay to the 1979 television miniseries Ike about Dwight D. Eisenhower, based on the World War II exploits of Gen. Dwight Eisenhower. He also wrote, miniseries Ike, The War Years.

Shavelson's autobiography, published by BearManor Media in April 2007, is entitled How to Succeed in Hollywood Without Really Trying, P.S. - You Can't! Shavelson wrote several other books, including, with Mr. Hope, “Don’t Shoot, It’s Only Me: Bob Hope’s Comedy History of the United States” (Putnam, 1990), and How to Make a Jewish Movie (1971), a memoir of his experiences while producing and directing Cast a Giant Shadow, and the Hollywood-themed novel Lualda (1973).

Shavelson was a noted instructor at USC's Master of Professional Writing Program from 1998-2006. He taught screenwriting, who often cracked to his students, ""I'm a writer by choice, a producer by necessity and a director in self-defense.""

Shavelson's first wife, Lucille, died in 2000. He was married to his second wife, Ruth Florea, from 2001 until his death in 2007. He had two children, Lynne Joiner and Richard Shavelson.

Description above from the Wikipedia article Melville Shavelson, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1917-04-01,"New York City, New York, USA"
Garth Jennings,52842,"Garth Jennings is an English film director, screenwriter, producer, actor and writer. Films he has directed include The Hitchhiker's Guide to the Galaxy, Son of Rambow, Sing, and its sequel Sing 2. He co-founded the production company Hammer & Tongs.  Description above from the Wikipedia article Hammer & Tongs, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1972-03-04,"Epping, Essex, England, UK"
Joel Zwick,54644,"From Wikipedia, the free encyclopedia

Joel Zwick (born January 11, 1942) is an American film, television and theatre director. He is best known for his work on Perfect Strangers, Full House, Family Matters and well as directing the films My Big Fat Greek Wedding and Fat Albert.

Born in Brooklyn, New York, he was educated at Brooklyn College. He directed twenty-one pilots, all of which went on to have successful runs as weekly series.

Description above from the Wikipedia article Joel Zwick, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1942-01-11,"Brooklyn, New York, USA"
Russell Mulcahy,52968,"From Wikipedia, the free encyclopedia

Russell Mulcahy (born 23 June 1953 in Melbourne, Victoria) is an Australian film director. His work is easily recognized by his use of fast cuts, tracking shots and use of glowing lights.

 

Description above from the Wikipedia article Russell Mulcahy, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1953-06-23,"Melbourne, Victoria, Australia"
David R. Ellis,4755,"David Richard Ellis (September 8, 1952 - January 7, 2013) was an American filmmaker, actor and  stuntman. He is best known for directing the films Final Destination 2 (2003), Cellular (2004), Snakes on a Plane (2006), The Final Destination (2009) and Shark Night 3D (2011).",1952-09-08,"Santa Monica, California, USA"
Peter Howitt,,,,
John A. Davis,60237,"John A. Davis (born John Alexander Davis) is an American film director, writer, animator, voice actor and composer known for his work both in stop-motion animation as well as computer animation. He is the creator of Jimmy Neutron.

From Wikipedia, the free encyclopedia",1963-07-04,"Dallas, Texas, USA"
David Lynch,5602,"David Keith Lynch (January 20, 1946 – January 16, 2025) was an American filmmaker, visual artist, musician, and actor. Lynch received critical acclaim for his films, which are often distinguished by their surrealist, dreamlike qualities. In his 58-year career, he was awarded numerous accolades, including the Golden Lion for Lifetime Achievement in 2006 and an Honorary Academy Award in 2019. In 2007, a panel of critics convened by The Guardian announced that ""after all the discussion, no one could fault the conclusion that David Lynch is the most important filmmaker of the current era.""

Lynch studied painting before he began making short films in the late 1960s. His first feature-length film was the independent surrealist film Eraserhead (1977), which saw success as a midnight movie. He was nominated for the Academy Award for Best Director for the biographical drama The Elephant Man (1980) and the mystery films Blue Velvet (1986) and Mulholland Drive (2001). His romantic crime drama Wild at Heart (1990) won the Palme d'Or at the Cannes Film Festival. He also directed the space opera adaptation Dune (1984), the surrealist neo-noir Lost Highway (1997), the biographical drama The Straight Story (1999), and the experimental film Inland Empire (2006).

Lynch and Mark Frost created the ABC series Twin Peaks (1990–91), for which Lynch was nominated for two Primetime Emmy Awards for Outstanding Directing for a Drama Series and Outstanding Writing for a Drama Series. Lynch co-wrote and directed its film prequel, Twin Peaks: Fire Walk with Me (1992), and its limited series revival (2017). He has also worked as an actor, including his portrayals of FBI agent Gordon Cole in Twin Peaks and director John Ford in Steven Spielberg's The Fabelmans (2022), as well as guest roles in TV series such as The Cleveland Show (2010–13), Louie (2012), and Robot Chicken (2020, 2022).

Lynch's other artistic endeavours included his work as a musician, encompassing the studio albums BlueBOB (2001), Crazy Clown Time (2011), and The Big Dream (2013), as well as painting and photography. He has written the books Images (1994), Catching the Big Fish (2006), and Room to Dream (2018). He has directed several music videos for artists such as Chris Isaak, X Japan, Moby, Interpol, Nine Inch Nails, and Donovan, and commercials for Calvin Klein, Dior, L'Oreal, Yves Saint Laurent, Gucci, and the New York City Department of Sanitation. A practitioner of Transcendental Meditation (TM), he founded the David Lynch Foundation, which seeks to fund the teaching of TM in schools and has since widened its scope to other at-risk populations, including the homeless, veterans, and refugees.",1946-01-20,"Missoula, Montana, USA"
